Review,Target
" Budapest to Warsaw. The ground crew was very polite and helpful, when we had some problems with our lagguages they arranged our issue without any additional fees. Cabin crew was okay, the meal and drink service is nothing special (chocolate bar, coffee and water on a 55 minutes flight). The legroom is quite comfortable on the Q400 aircraft and we landed without any turbulance or problem. The flight took 55 minutes so you can bare the turboprop aircraft. LOT Polish Airlines says that they wanted to be Central- and Eastern Europes' favourite airline. Compare to the others it is time to develop. (Higher services for that price or the present service for lover price.)",Passive
"Bergerac to Stansted. Just come off a particularly unpleasant Ryanair flight where for the entire 1 hour and 20 minutes my wife and I were subjected to an all pervading smell of vomit. When initially challenged the cabin crew claimed to know nothing about this although we were offered a move to the row of sets in front of us (which was empty despite an otherwise full flight) and from whence the smell seemed to be emanating. Interestingly when we raised the issue of the foul smell with a different member of crew, on leaving the plane we were told that we had been offered a move and that there was a limited amount they could do to clean up vomit so despite the initial denial of knowledge the crew were well aware of the unpleasant conditions in which we had been expected to travel. I am well aware that Ryanair is a budget airline and am generally happy to accept that but do think they need to adhere to basic levels of cleanliness and be honest with passengers which sadly wasn't the case today.",Detractor
BRU-LIS. Flight left a few minutes late aircraft was at an off gate stand passengers had to reach the aircraft by bus. The flight in itself was very good clean aircraft very attentive crew and excellent service. Economy flex class of service.,Promoter
"Fleet of A319 and A320 in this route. Fast check in and fast track, what fast track! Took longer that other pax! Good lounge and well services and staffed one. Boarding ok, flight itself lacks the extra mile, they have no time nor the wish to make your money worth it. Same shame on the return. Bags first out which was a surprise.",Passive
4 Nov Houston-Doha QR714 and 15 Nov Doha-Houston QR713. Business class. Check in at Houston: the desk staff did not know whether coach class seats had power outlets. They do as anyone can find out on the Qatar Airways website. Continuing with the flight attendants. They all seemed to be in-training: could not remember to bring coffee or water even though they were very attentive just not very efficient. On both ways my choice of food was not available. I had to ask 2 or 3 times each way for dessert. The 777LR aircraft in a 2x2x2 business class configuration is not very comfortable being trapped for 16 hours between a window and a sleeping passenger. Doha Airport on both arrivals and departures is undeserving of the beautiful and progressive country of Qatar. Taking my hand luggage down the stairs up the bus off the bus up to immigration is a chore and nobody from the airline offered any help. Overall not a bad airline.,Passive
"We flew from Gatwick to Porto return. The flights were on time, crew on board were polite and helpful, the captain kept us informed on both the outward and return flights. The cabin and toilets were clean. Porto airport was well run and efficient, Gatwick which had filthy toilets was not such a pleasant experience.",Promoter
Flew from Shillong to Kolkata. Check in and cabin staff were pleasant and the flight was on time but the state of the plane: broken seats frayed seat belts all the panels were grimey the carpet was worn out. I hope the vital parts of the plane were better maintained.,Passive
" Flew biz class from Abu Dhabi to Paris, though economy Bangkok-Abu Dhabi. On the first segment (B-777) the seats were very tight and the food service poor, to be charitable. Worse was the biz class to Paris. Though the A380 seating was fine, the cabin service was terrible - disinterested and abrupt flight attendants and an incredibly limited selection of food and drinks, given the price and the 7.5 hour flight. I often fly Qatar on this route and there is really NO comparison in standard. Will go back to Qatar (or Emirates) rather than try to save a few EUR with the sub-standard Etihad.",Detractor
We flew 4 flights with South African Airways last month. We flew JFK-NY To Johannesburg then to Harare. The flight was horrendous. The 15 hour flight from JFK was especially terrible since the entertainment system never worked. For the entire time there was no visual entertainment nor audio. The worst part is that is was static the entire time! Also we were sitting in the fourth row from the front of economy class. They offered fish or beef. By the time they got to our row they ran out!,Detractor
Hong Kong to Kuala Lumpur - I am a regular Cathay Pacific passenger and in their loyalty program. 90% of the time I fly with them I have to endure a hot cabin. Despite complaining to the staff the thermostat is set at a higher temperature than other airlines I have flown thus making the cabin stuffy and uncomfortable.,Passive
