Review,Target
" Singapore to Jakarta. 9 years since I last took Singapore Airlines. Online check-in process easy, I managed to call the hotline to change my seat to get an exit row with my parents which was done easily. SQ did even bother to send us an SMS to warn us about the French strikes blocking the roads and to go early to the airport subsequently. Very good point. I find the quality of service onboard below of that of few years ago, food standard and bland, staff with good hard-skills though (responsive, efficient and professional) but could be better - they talk very fast, robotic gestures and could be more smiling. On our inbound leg, they ran out of one food option which left us very disappointed. Seats on the Boeing 777-300ER larger and more comfortable compared with that of other premium airlines. For the outbound Jakarta-Singapore leg, they asked us if we wanted to take an earlier flight, so that we could have more buffer time transiting in Singapore for our next flight to Paris and not being too much in a hurry, which was a very good point. All in all, very good ground service, but experience onboard quite standard. I place this experience on par with 4-star airlines such as Emirates, but below the 5-Star Qatar Airways. Good value for money though.",Passive
Norwegian Long Haul. OSL-LGW. Flight DY1310. 11th July. 787-800 Dreamliner. Having taken delivery of their first 787 EI-LNA on 30th. June Norwegian offered passengers the chance of shorthaul European 'Dreamliner' flights for the summer before they deploy them to the USA/Far East. I took advantage of the offer and was not disappointed. Checking in very easy at Gardermoen airport with plenty of kiosks. Boarding delayed due we were informed to a problem with the air conditioning. However the fault (human or mechanical?) was quickly solved and we were invited to board earlier than announced. Being a nearly new aircraft everything was in pristine condition except for the two window controls next to me. The 'Smart Glass' refused to dim on one window despite much pressing and only just worked on the other but did not get fully dark. I feel the control pads are not robust enough and were already worn out. Takeoff was as smooth as silk and done in a very short time. The flight was very calm and the usual aircraft roar absent. The touch screen seat-back entertainment was easy to use and had a very good sky map which could be viewed in several different ways: Normal R/L side Top view Cockpit view etc. The menu had films games in-flight purchases and so on. All in all a wonderful two hour flight.,Promoter
"  Guangzhou to Paris. I have paid for inflight upgrade service from economy to business class. Under the upgrade agreement the food would be as economy, but crew were served me extra meal and fruits, sandwich. If China Southern could prepare more per-meal for temporary upgrade it would be better. Headset with noise-cancelling are good but do not work well all the time, changed two times during flight. Movies with long advertisement disturbed 3 times. Ground services staff is quite patient with my luggage and mileage question.",Promoter
 Vientiane to Melbourne via Bangkok. A very enjoyable flight that began with check in - I love that they have a much shorter line for bag drop for those who have checked in online. Friendly staff. Meals were good and varied and plentiful with good drink options and they came back for coffee after the meal. Wide choice of movies and tv shows provided through inseat screen. Flight arrived early in Melbourne. Would definitely fly again.,Promoter
I travelled Manchester - Sydney return on 777-300 ER. The service was mediocre on 3 of the 4 legs with a poor selection of food warm champagne and no single malts. The crew were almost robotic and did not show any real deep customer care. The service was rushed and served without any finesse unlike Singapore and Emirates. The new seat/bed was ok but felt tight and squeezed in. Obviously on this airline they have crammed in as many seats as possible with no space to move around the plane. I am 1.80 in height and slim and getting in and out of my seat 17K unless the seat was completely upright was a struggle. Boarding on all 4 legs as a BC passenger was chaotic and a stress. In Hong Kong it was unbelievable. 14 staff and not one singing off the same hymn sheet. Also in HK no one welcomed us onboard either on entry or when we were seated. The crew manager spent all her time at the front of the plane and never entered to serve or speak with the passengers in any class on the HK to Manchester leg on 18 Feb 2015. She was unapproachable and aloof. The business class lounge at Manchester was a joke and in Hong Kong was nice when inside the staff were distant and robotic. In Sydney we used the Qantas lounge winch was a delight. I would not spend Â£3700 with this airline again but will travel Singapore or Emirates BC when I travel long haul and wouldn't use Manchester again I'll travel through Heathrow.,Passive
"AC1830 Toronto to Bridgetown 24 April 2014. AC1831 Bridgetown to Toronto 4 May 2014. Like many others posting I booked flights for myself and my husband months in advance of our April 2014 trip to Barbados. When I booked I paid for an Air Canada flight - not an Air Canada Rouge flight. As I understand it Air Canada Rouge didn't even fly into Barbados at the time I booked. We were subsequently bumped to Air Canada Rouge with no consultation and no refund. I had upgrade credits to get us to Premium Rouge so the trip down wasn't too bad (except for the lack of entertainment) but the trip back in economy was terrible. My husband was forced to sit sideways (to the extent possible) in order to avoid jamming his knees into the seat ahead. Clearly AC didn't get anyone over 6 feet to test the comfort of these seats before they decided to alter the planes. So we got a ""discount"" service with no discount!",Detractor
SIN-DPS-SIN. New B777 with 3-3-3 in economy vs 3-4-3 with Emirates giving plenty of room width ways and I could quite comfortably stretch out length ways. Nice cabin interior cabin crew responded quickly to the call button. Meal adequate for a two and a half hour flight in Y class. No news papers or magazines but the Oryx inflight entertainment would keep you from getting bored. Baggage allowance of 23kg adequate for a long weekend in Bali but Emirates and Etihad are now giving 30kg. Business class seats looked wide and comfortable compared to Etihad's which are a bit narrow. I look forward to flying on Qatar Airways again they are now on my favourite airline list.,Promoter
"Our last trip with Garuda Indonesia, return Jeddah to Jakarta, both flights exceeded our expectations. The crew were helpful and friendly at all times. The food is good but the portion sizes need to be increased. For sitting comfort, the seat needs to be more flexible and more adjustable in the recline position. We travelled Economy class, but the were spoilt with welcome drinks, good food and great movies. Overall, I will recommend Garuda Indonesia.",Promoter
  We booked our flights in July 2016 with Alaska. It's February 2017. From Kona to Seattle they had the family split up including our 5 year old. They did not care at all (that's the way flights work she said they have to make money). Then the flight attendant prosseded to give my 5 year old pop every time he would ask but my wife and I were not sitting in same row and could not see. My wife got to sit beside 2 people that had to use belt extensions - it was fun for her. When we got to Seattle they had seats for us - one for me but the kids and wife they oversold. They know when you book flights how old people are so the idea of splitting up a mother or father and a 5 year old is ridiculous. The other part is how do you oversell a seat when you book it 8 months early.,Detractor
" I now avoid British Airways under Alex Cruz and this is the first time I have flown EasyJet to Copenhagen. It was broadly comparable in comfort and service, while being significantly cheaper. I'd also choose over Ryanair as the aircraft interior is less garish and there are fewer annoying announcements.",Passive
